player1,player2,playerid1,playerid2,deckcode1,deckcode2,characters1,characters2,score1,score2,week_game,isDrop,isBye,isTie,isIncluded,isMirror,server,matchNum,week,game
ersihfrans,Nukleer,45,178,E2DwxB0MFUDwyVkMFpAh42IOCDDg5JwOCUDA9J0PCUDR9oIPGGEgirYYC6HREzYdE0AA,GzDA4QEOABCg7pcOCeBx9DMPGEAh9oIQDFEgBcIQDHGQO8kTDbEQr9EaGvER3KEdGsAA,Cyno\\Emperor of Fire and Iron\\Thoma,Ganyu\\Mualani\\Xingqiu,1,0,1\\2,,,,TRUE,FALSE,AS,22,1,2
Milind,Nukleer,331,178,AKDRyrING+AR4bQOGxBB8rUPGyBR9DMPE0Ax9rcPG2FwEbQRCxGATbgUDNFgacYWDJAA,GzDA4QEOABCg7pcOCeBx9DMPGEAh9oIQDFEgBcIQDHGQO8kTDbEQr9EaGvER3KEdGsAA,Golden Wolflord\\Sangonomiya Kokomi\\Sigewinne,Ganyu\\Mualani\\Xingqiu,0,1,1\\3,,,,TRUE,FALSE,AS,23,1,3
Ark,SOMU,13,267,GJDB6RkOHKDR6o8PGGHxB88QHHHwO5cTCbFxxFccFUFwr7YaC/Fg1MYdDEFg3NsdDsAA,FZDA0SYNARFxWmMPFkAw9ZsPE2AB9kgWFIGBloEQGKEQDcQWDJFAacYdDEFg1MkdDMAA,Kachina\\Lyney\\Navia,Hu Tao\\Kuki Shinobu\\Venti,0,1,1\\3,,,,TRUE,FALSE,AS,24,1,3
Eon!!!,Paroy,42,118,AGCg1gQNAZCw2ZcVE6AB9DAPE0AR9jMQE4EwCMQTDLFATMoUDMGgENERDQER1EkdDUAA,HMDh7BwPAQCR8NAPHUAA9JcPCVBx9oMUGLEwS7QZC2FRljUbE6FRulocDsGw1OsdDkAA,Chongyun\\Razor\\Xingqiu,Alhaitham\\Dehya\\Emilie,1,0,1\\3,,,,TRUE,FALSE,AS,25,1,3
AIR,VPNilou,6,290,HJDR6RkOGKDB6o8PGGHxB88QHHHwO5cTCbFxxFccFUFwr7YaC/Fg1MYdDEFg3NsdDsAA,A0FRlHAVHaBg9HEPB0AR/nkPF+GQip0YCaHRrtkaHeGQy70cGLFB04QdGDFR24UdGbAA,Kachina\\Lyney\\Navia,All-Devouring Narwhal\\Rhodeia of Loch\\Xilonen,1,0,1\\3,,,,TRUE,FALSE,AS,26,1,3
LOKI,Kaizen,332,69,HpFSypkOFRES0tgOCrFx9aUQFGEC9zERFoJyCVgUDLLxPMARDdJB1cUeDUJh3cceDcEB,AJBxyRgNAhBw0WMNCDAw3YoOCOCg7o4PCEDg9JcPCWBx9lcQFWFwBr8TDLFQ1MUdDEAA,Cryo Hypostasis\\Sethos\\Xianyun,Shenhe\\Xiao\\Yelan,0,1,1\\3,,,,TRUE,FALSE,AS,27,1,3
Remi,imo,313,281,HZBRypgMEaBh2dcNHZBx2yoPEiCg8oMPCEAw9JcTCbFxOzEQE8ExEJMRGQEw3MkdDMAA,AGEQNgwMG1DQxYMNCKExWi8PFEBw9JcPCWBx9jMQFWFxBpMTGbEw1L8dC0Hx3DUdE8AA,Azhdaha\\Sethos\\Xianyun,Clorinde\\Ganyu\\Tartaglia,1,0,1\\3,TRUE,,,,FALSE,AS,28,1,3
ersihfrans,Trion,45,159,E2DwxB0MFUDwyVkMFpAh42IOCDDg5JwOCUDA9J0PCUDR9oIPGGEgirYYC6HREzYdE0AA,ERBgxBMMA0CQyU8MBJHxOCoTEoCg3pcPE0AB9FcPFWBx9oITGLEgO7YYC6HQisEQDLAA,Cyno\\Emperor of Fire and Iron\\Thoma,Azhdaha\\Bennett\\Electro Hypostasis,1,0,1\\3,,,,TRUE,FALSE,AS,29,1,3
Ianradtan,Hotaru,59,330,AhDBwW4MFFAhxXcMCJDQyY4aEjDh6S4OCZBw7pcOGOEhA4IQGTExPJMTC8HQEL0RDAAA,EUFxWmwOABDR4iwPEkDA9J0PCWDR+YEPGJERW7cYG6FwlrYWC5Fgab0dFUGA1MQPDGAA,Millennial Pearl Seahorse\\Yun Jin\\Zhongli,Furina\\Layla\\Sangonomiya Kokomi,1,0,1\\3,,,,TRUE,FALSE,AS,30,1,3
ApexKiller,zhurowzhu,11,333,HZBgyRcNFhHhWncOF5Bw6Y0OCKDh6i4OEuDg7pcQCTFxA5MQGVEwEL0RDAFQ3MUdDMAA,ApDA7hcOHODR8s8PCSBw9JcPGEEhA4IQDDGQB8kQDXEQO9ETGrERxKEcDUGwr+kaDvAA,Hu Tao\\Xilonen\\Yun Jin,Hu Tao\\Kachina\\Zhongli,1,0,1\\3,,,,TRUE,FALSE,AS,31,1,3
DarkShrine,『Hɨkɑʀʊ』,28,248,FpDhydYNARFxOncVF6Bw6Y0OCJDh7i4OEuDg8pcQCTFxA5MQGVEwEL0RDAFQ3MUdDMAA,HaBR0JgNFQDh0dcNFhAQ15cVCaBx9DMPE0ExB1cQFXFxO5MTGbEwPsYTDOFg3ModDMAA,Hu Tao\\Xilonen\\Yun Jin,Abyss Herald: Wicked Torrents\\Sethos\\Xianyun,0,1,1\\3,,,,TRUE,FALSE,AS,32,1,3
Kaizen,Ark,69,13,AJBxyRgNAhBw0WMNCDAw3YoOCOCg7o4PCEDg9JcPCWBx9lcQFWFwBr8TDLFQ1MUdDEAA,GJDB6RkOHKDR6o8PGGHxB88QHHHwO5cTCbFxxFccFUFwr7YaC/Fg1MYdDEFg3NsdDsAA,Shenhe\\Xiao\\Yelan,Kachina\\Lyney\\Navia,0,1,1\\4,,,,TRUE,FALSE,AS,33,1,4
AIR,Paroy,6,118,HJDR6RkOGKDB6o8PGGHxB88QHHHwO5cTCbFxxFccFUFwr7YaC/Fg1MYdDEFg3NsdDsAA,HMDh7BwPAQCR8NAPHUAA9JcPCVBx9oMUGLEwS7QZC2FRljUbE6FRulocDsGw1OsdDkAA,Kachina\\Lyney\\Navia,Alhaitham\\Dehya\\Emilie,0,1,1\\4,,,,TRUE,FALSE,AS,34,1,4
LOKI,Remi,332,313,HpFSypkOFRES0tgOCrFx9aUQFGEC9zERFoJyCVgUDLLxPMARDdJB1cUeDUJh3cceDcEB,HZBRypgMEaBh2dcNHZBx2yoPEiCg8oMPCEAw9JcTCbFxOzEQE8ExEJMRGQEw3MkdDMAA,Cryo Hypostasis\\Sethos\\Xianyun,Azhdaha\\Sethos\\Xianyun,1,0,1\\4,,,,TRUE,FALSE,AS,35,1,4
Eon!!!,Ianradtan,42,59,AGCg1gQNAZCw2ZcVE6AB9DAPE0AR9jMQE4EwCMQTDLFATMoUDMGgENERDQER1EkdDUAA,AhDBwW4MFFAhxXcMCJDQyY4aEjDh6S4OCZBw7pcOGOEhA4IQGTExPJMTC8HQEL0RDAAA,Chongyun\\Razor\\Xingqiu,Millennial Pearl Seahorse\\Yun Jin\\Zhongli,0,1,1\\4,,,,TRUE,FALSE,AS,36,1,4
Hotaru,DarkShrine,330,28,EUFxWmwOABDR4iwPEkDA9J0PCWDR+YEPGJERW7cYG6FwlrYWC5Fgab0dFUGA1MQPDGAA,FpDhydYNARFxOncVF6Bw6Y0OCJDh7i4OEuDg8pcQCTFxA5MQGVEwEL0RDAFQ3MUdDMAA,Furina\\Layla\\Sangonomiya Kokomi,Hu Tao\\Xilonen\\Yun Jin,1,0,1\\4,,,,TRUE,FALSE,AS,37,1,4
Nukleer,zhurowzhu,178,333,GzDA4QEOABCg7pcOCeBx9DMPGEAh9oIQDFEgBcIQDHGQO8kTDbEQr9EaGvER3KEdGsAA,ApDA7hcOHODR8s8PCSBw9JcPGEEhA4IQDDGQB8kQDXEQO9ETGrERxKEcDUGwr+kaDvAA,Ganyu\\Mualani\\Xingqiu,Hu Tao\\Kachina\\Zhongli,0,1,1\\4,,,,TRUE,FALSE,AS,38,1,4
Milind,ApexKiller,331,11,AKDRyrING+AR4bQOGxBB8rUPGyBR9DMPE0Ax9rcPG2FwEbQRCxGATbgUDNFgacYWDJAA,HZBgyRcNFhHhWncOF5Bw6Y0OCKDh6i4OEuDg7pcQCTFxA5MQGVEwEL0RDAFQ3MUdDMAA,Golden Wolflord\\Sangonomiya Kokomi\\Sigewinne,Hu Tao\\Xilonen\\Yun Jin,1,0,1\\4,,,,TRUE,FALSE,AS,39,1,4
『Hɨkɑʀʊ』,ersihfrans,248,45,HaBR0JgNFQDh0dcNFhAQ15cVCaBx9DMPE0ExB1cQFXFxO5MTGbEwPsYTDOFg3ModDMAA,E2DwxB0MFUDwyVkMFpAh42IOCDDg5JwOCUDA9J0PCUDR9oIPGGEgirYYC6HREzYdE0AA,Abyss Herald: Wicked Torrents\\Sethos\\Xianyun,Cyno\\Emperor of Fire and Iron\\Thoma,1,0,1\\4,,,,TRUE,FALSE,AS,40,1,4
SOMU,VPNilou,267,290,FZDA0SYNARFxWmMPFkAw9ZsPE2AB9kgWFIGBloEQGKEQDcQWDJFAacYdDEFg1MkdDMAA,A0FRlHAVHaBg9HEPB0AR/nkPF+GQip0YCaHRrtkaHeGQy70cGLFB04QdGDFR24UdGbAA,Hu Tao\\Kuki Shinobu\\Venti,All-Devouring Narwhal\\Rhodeia of Loch\\Xilonen,1,0,1\\4,,,,TRUE,FALSE,AS,41,1,4
zhurowzhu,BYE,333,,ApDA7hcOHODR8s8PCSBw9JcPGEEhA4IQDDGQB8kQDXEQO9ETGrERxKEcDUGwr+kaDvAA,,Hu Tao\\Kachina\\Zhongli,,1,,1\\5,,TRUE,,,FALSE,AS,42,1,5
Ianradtan,Paroy,59,118,AhDBwW4MFFAhxXcMCJDQyY4aEjDh6S4OCZBw7pcOGOEhA4IQGTExPJMTC8HQEL0RDAAA,HMDh7BwPAQCR8NAPHUAA9JcPCVBx9oMUGLEwS7QZC2FRljUbE6FRulocDsGw1OsdDkAA,Millennial Pearl Seahorse\\Yun Jin\\Zhongli,Alhaitham\\Dehya\\Emilie,1,0,1\\5,,,,TRUE,FALSE,AS,43,1,5
Ark,Milind,13,331,GJDB6RkOHKDR6o8PGGHxB88QHHHwO5cTCbFxxFccFUFwr7YaC/Fg1MYdDEFg3NsdDsAA,AKDRyrING+AR4bQOGxBB8rUPGyBR9DMPE0Ax9rcPG2FwEbQRCxGATbgUDNFgacYWDJAA,Kachina\\Lyney\\Navia,Golden Wolflord\\Sangonomiya Kokomi\\Sigewinne,1,0,1\\5,,,,TRUE,FALSE,AS,44,1,5
LOKI,Nukleer,332,178,HpFSypkOFRES0tgOCrFx9aUQFGEC9zERFoJyCVgUDLLxPMARDdJB1cUeDUJh3cceDcEB,GzDA4QEOABCg7pcOCeBx9DMPGEAh9oIQDFEgBcIQDHGQO8kTDbEQr9EaGvER3KEdGsAA,Cryo Hypostasis\\Sethos\\Xianyun,Ganyu\\Mualani\\Xingqiu,0,1,1\\5,TRUE,,,,FALSE,AS,45,1,5
Eon!!!,AIR,42,6,AGCg1gQNAZCw2ZcVE6AB9DAPE0AR9jMQE4EwCMQTDLFATMoUDMGgENERDQER1EkdDUAA,HJDR6RkOGKDB6o8PGGHxB88QHHHwO5cTCbFxxFccFUFwr7YaC/Fg1MYdDEFg3NsdDsAA,Chongyun\\Razor\\Xingqiu,Kachina\\Lyney\\Navia,0,1,1\\5,,,,TRUE,FALSE,AS,46,1,5
ersihfrans,Kaizen,45,69,E2DwxB0MFUDwyVkMFpAh42IOCDDg5JwOCUDA9J0PCUDR9oIPGGEgirYYC6HREzYdE0AA,AJBxyRgNAhBw0WMNCDAw3YoOCOCg7o4PCEDg9JcPCWBx9lcQFWFwBr8TDLFQ1MUdDEAA,Cyno\\Emperor of Fire and Iron\\Thoma,Shenhe\\Xiao\\Yelan,1,0,1\\5,,,,TRUE,FALSE,AS,47,1,5
SOMU,『Hɨkɑʀʊ』,267,248,FZDA0SYNARFxWmMPFkAw9ZsPE2AB9kgWFIGBloEQGKEQDcQWDJFAacYdDEFg1MkdDMAA,HaBR0JgNFQDh0dcNFhAQ15cVCaBx9DMPE0ExB1cQFXFxO5MTGbEwPsYTDOFg3ModDMAA,Hu Tao\\Kuki Shinobu\\Venti,Abyss Herald: Wicked Torrents\\Sethos\\Xianyun,1,0,1\\5,,,,TRUE,FALSE,AS,48,1,5
Remi,ApexKiller,313,11,HZBRypgMEaBh2dcNHZBx2yoPEiCg8oMPCEAw9JcTCbFxOzEQE8ExEJMRGQEw3MkdDMAA,HZBgyRcNFhHhWncOF5Bw6Y0OCKDh6i4OEuDg7pcQCTFxA5MQGVEwEL0RDAFQ3MUdDMAA,Azhdaha\\Sethos\\Xianyun,Hu Tao\\Xilonen\\Yun Jin,0,1,1\\5,TRUE,,,,FALSE,AS,49,1,5
Hotaru,VPNilou,330,290,EUFxWmwOABDR4iwPEkDA9J0PCWDR+YEPGJERW7cYG6FwlrYWC5Fgab0dFUGA1MQPDGAA,A0FRlHAVHaBg9HEPB0AR/nkPF+GQip0YCaHRrtkaHeGQy70cGLFB04QdGDFR24UdGbAA,Furina\\Layla\\Sangonomiya Kokomi,All-Devouring Narwhal\\Rhodeia of Loch\\Xilonen,1,0,1\\5,,,,TRUE,FALSE,AS,50,1,5
SOMU,diarin,267,32,FZDA0SYNARFxWmMPFkAw9ZsPE2AB9kgWFIGBloEQGKEQDcQWDJFAacYdDEFg1MkdDMAA,EeBR6aQOApDA6mgOGqBx9FcPFUBw9rYPDJEQusEbE6FhzDYcDMFg1MYdDEGQ3MkdDcAA,Hu Tao\\Kuki Shinobu\\Venti,Chiori\\La Signora\\Zhongli,0,1,2\\1,,,,TRUE,FALSE,AS,51,2,1
Paroy,DarkShrine,118,28,HbHh7RoPEsHC8dEQHgEB9ZgQCkFy9pQQGmIxu7UcDaJhDccRF8JyzWgdFsKh1eweD0EB,G0EAlCsOAAAR4JEUGcEQTJ0YCaHQirYdCzFg070WDJFgacYcDFHQ1M0dDUEQ3NEdGcAA,Alhaitham\\Dehya\\Emilie,Ganyu\\Noelle\\Rosaria,0,1,2\\1,,,,TRUE,FALSE,AS,52,2,1
Remi,Ianradtan,313,59,AaBx6dYOHJDR6s8OEqDg9JcPCUFxO1cTFbFxotkaDPFgr8YdDUEQ1NEdGsER3KEZFWAA,ARFxwgUNF1HixngNCZGhyo8bEzHi4C8OCvFx4ZgPGQEi74MPGuIyBJQRDDLREb4SDQEB,Hu Tao\\Kachina\\Xilonen,Chongyun\\Shenhe\\Yun Jin,0,1,2\\1,,,,TRUE,FALSE,AS,53,2,1
Nukleer,Ark,178,13,FhHB0W8dEZGB2XUMFxBRwXgTF6GAWoMYCIBQ/oUPCOFgAYYQFBFxA0cQCjEw06MdHTAA,AvAQ1BANFEEROjMVE6Ax8VcPFRBx8pMPGSAw87QPCzBA9rUPC2FQO70TC7HQ1M8dDEAA,Furina\\Kaveh\\Yelan,Cryo Hypostasis\\Nilou\\Yae Miko,0,1,2\\1,,,,TRUE,FALSE,AS,54,2,1
Suuna,ersihfrans,334,45,FWDAyRcNAxAh0WoVFqAx9GMPCkAx9UgPFGGBaIEZG2FxCrcRFRGAacQWDJFA1MYdDEAA,FUDhxUAMAFBByUQMCJBQ0YYNFxDw9JcPE0AB9jAQE4ExCDMTFbFwO78QC7Hw3MQdDMAA,Hu Tao\\Kuki Shinobu\\Yaoyao,Abyss Herald: Wicked Torrents\\Chongyun\\Sayu,0,1,2\\1,,,,TRUE,FALSE,AS,55,2,1
Kaizen,Kanon,69,297,FRDA0Q0NAlFhWn0PCUDR9EgPFGCB+YEPGJERaLcQDPFAD8QWDJFgacYdDEGQ3MkdDcAA,AUBx9lwQGoFRCGMTFrExTEgWFIGBircYG6GBlrgQC6Fgab0WFZGAxcYcDFFh1FodD8AA,Kuki Shinobu\\Sangonomiya Kokomi\\Venti,Abyss Lector: Violet Lightning\\Hu Tao\\Kuki Shinobu,1,0,2\\1,,,,TRUE,FALSE,AS,56,2,1
Nukleer,Remi,178,313,FhHB0W8dEZGB2XUMFxBRwXgTF6GAWoMYCIBQ/oUPCOFgAYYQFBFxA0cQCjEw06MdHTAA,AaBx6dYOHJDR6s8OEqDg9JcPCUFxO1cTFbFxotkaDPFgr8YdDUEQ1NEdGsER3KEZFWAA,Furina\\Kaveh\\Yelan,Hu Tao\\Kachina\\Xilonen,0,1,2\\2,,,,TRUE,FALSE,AS,57,2,2
Ianradtan,Ark,59,13,ARFxwgUNF1HixngNCZGhyo8bEzHi4C8OCvFx4ZgPGQEi74MPGuIyBJQRDDLREb4SDQEB,AvAQ1BANFEEROjMVE6Ax8VcPFRBx8pMPGSAw87QPCzBA9rUPC2FQO70TC7HQ1M8dDEAA,Chongyun\\Shenhe\\Yun Jin,Cryo Hypostasis\\Nilou\\Yae Miko,1,0,2\\2,,,,TRUE,FALSE,AS,58,2,2
DarkShrine,ersihfrans,28,45,G0EAlCsOAAAR4JEUGcEQTJ0YCaHQirYdCzFg070WDJFgacYcDFHQ1M0dDUEQ3NEdGcAA,FUDhxUAMAFBByUQMCJBQ0YYNFxDw9JcPE0AB9jAQE4ExCDMTFbFwO78QC7Hw3MQdDMAA,Ganyu\\Noelle\\Rosaria,Abyss Herald: Wicked Torrents\\Chongyun\\Sayu,0,1,2\\2,,,,TRUE,FALSE,AS,59,2,2
Kanon,Suuna,297,334,AUBx9lwQGoFRCGMTFrExTEgWFIGBircYG6GBlrgQC6Fgab0WFZGAxcYcDFFh1FodD8AA,FWDAyRcNAxAh0WoVFqAx9GMPCkAx9UgPFGGBaIEZG2FxCrcRFRGAacQWDJFA1MYdDEAA,Abyss Lector: Violet Lightning\\Hu Tao\\Kuki Shinobu,Hu Tao\\Kuki Shinobu\\Yaoyao,0,1,2\\2,,,,TRUE,FALSE,AS,60,2,2
SOMU,Paroy,267,118,FZDA0SYNARFxWmMPFkAw9ZsPE2AB9kgWFIGBloEQGKEQDcQWDJFAacYdDEFg1MkdDMAA,HbHh7RoPEsHC8dEQHgEB9ZgQCkFy9pQQGmIxu7UcDaJhDccRF8JyzWgdFsKh1eweD0EB,Hu Tao\\Kuki Shinobu\\Venti,Alhaitham\\Dehya\\Emilie,1,0,2\\2,,,,TRUE,FALSE,AS,61,2,2
